ID,Node Name,ExternalRef ID,Status
4446853,TechWarriors,sowjanya.kari,Already updated
4446867,NGTransformers,sowjanya.kari,Already updated
4446887,agentcrafters,shwetha.shriyan,Already updated
4446863,TechAvengers,mervinkumar.manickam,Already updated
4446855,agentcrafters,shwetha.shriyan,Already updated
4446861,agentcrafters,shwetha.shriyan,Already updated
4446854,TechAvengers,mervinkumar.manickam,Already updated
4446865,agentcrafters,shwetha.shriyan,Already updated
4446886,TechStars,mohanraj.a.selvaraj,Already updated
4446864,Pacemakers,sona.job,Already updated
4446891,TechSavers,nityanand.giri,Updated
4446885,TechCoders,Francis.Deepak,Updated
