ID,Node Name,ExternalRef ID,Status
4446853,TechWarriors,sowjanya.kari,Already updated
4446923,Pixel Pioneers,pandidurai.ks,Already updated
4446949,GEN AI - Solution Super Agent,pandidurai.ks,Already updated
4446950,GEN AI - Solution Super Agent,pandidurai.ks,Already updated
4446945,agentcrafters,shwetha.shriyan,Already updated
4446959,agentcrafters,shwetha.shriyan,Already updated
4446954,Simba,m.ohlan,Already updated
4446934,agentcrafters,shwetha.shriyan,Already updated
4444409,agentcrafters,shwetha.shriyan,Already updated
4446887,TechCoders,Francis.Deepak,Already updated
4446907,TechStars,mohanraj.a.selvaraj,Already updated
4446910,TechCoders,Francis.Deepak,Already updated
4446914,TechAvengers,mervinkumar.manickam,Already updated
4446915,Solution to Contract,n.d.krishnakumar,Already updated
4446921,agentcrafters,shwetha.shriyan,Already updated
4446912,agentcrafters,shwetha.shriyan,Already updated
4446913,Spartans,nityanand.giri,Already updated
4446909,Gen AI - Solution Review Agent,n.d.krishnakumar,Already updated
4446897,CrazyCoders,nityanand.giri,Already updated
4446865,agentcrafters,shwetha.shriyan,Already updated
4446861,agentcrafters,shwetha.shriyan,Already updated
4446940,agentcrafters,shwetha.shriyan,Already updated
4446942,QDI - Opportunity Metrics,n.d.krishnakumar,Already updated
4446943,QDI - Opportunity Metrics,n.d.krishnakumar,Already updated
4446926,QDI - Opportunity Metrics,n.d.krishnakumar,Already updated
4446927,GENAI-CDAT,n.d.krishnakumar,Already updated
4446929,Code Mavin,n.d.krishnakumar,Already updated
4446931,QDI - Opportunity Metrics,n.d.krishnakumar,Already updated
4446932,QDI - Opportunity Metrics,n.d.krishnakumar,Already updated
4446933,Gen AI - Solution Review Agent,n.d.krishnakumar,Already updated
4446956,agentcrafters,shwetha.shriyan,Already updated
4446958,Code Mavin,n.d.krishnakumar,Already updated
4446944,TechCoders,Francis.Deepak,Already updated
4446864,Pacemakers,sona.job,Already updated
4446922,agentcrafters,shwetha.shriyan,Already updated
4446952,CreativeCoders,K.devaraj,Updated
4446855,agentcrafters,shwetha.shriyan,Updated
4446918,TechCoders,Francis.Deepak,Updated
