ID,Node Name,ExternalRef ID,Status
4007775,SolutionDataLake,vishal.v.nadpurohit,Already updated
4363137,GoRetro,sowjanya.kari,Already updated
4188133,TechWarriors,sowjanya.kari,Already updated
4446864,Pacemakers,sona.job,Already updated
4451459,Pacemakers,sona.job,Already updated
4354260,DevNinjas,sona.job,Already updated
4386496,Pacemakers,sona.job,Already updated
4449966,Pacemakers,sona.job,Already updated
4446918,CodeCrafters,sona.job,Already updated
4446921,agentcrafters,shwetha.shriyan,Already updated
4446922,agentcrafters,shwetha.shriyan,Already updated
4446315,agentcrafters,shwetha.shriyan,Already updated
4446962,agentcrafters,shwetha.shriyan,Already updated
4446964,agentcrafters,shwetha.shriyan,Already updated
4446975,agentcrafters,shwetha.shriyan,Already updated
4440949,agentcrafters,shwetha.shriyan,Already updated
4443599,agentcrafters,shwetha.shriyan,Already updated
4443654,agentcrafters,shwetha.shriyan,Already updated
4443706,agentcrafters,shwetha.shriyan,Already updated
4444090,agentcrafters,shwetha.shriyan,Already updated
4444295,agentcrafters,shwetha.shriyan,Already updated
4445150,agentcrafters,shwetha.shriyan,Already updated
4373531,agentcrafters,shwetha.shriyan,Already updated
4425443,agentcrafters,shwetha.shriyan,Already updated
4425603,agentcrafters,shwetha.shriyan,Already updated
4432440,agentcrafters,shwetha.shriyan,Already updated
4439981,agentcrafters,shwetha.shriyan,Already updated
4357251,agentcrafters,shwetha.shriyan,Already updated
4446861,agentcrafters,shwetha.shriyan,Already updated
4446940,agentcrafters,shwetha.shriyan,Already updated
4398595,Ninjawarriors,pandidurai.ks,Already updated
4421616,GEN AI - Solution Super Agent,pandidurai.ks,Already updated
4439448,GEN AI - Solution Super Agent,pandidurai.ks,Already updated
4436350,GEN AI - Solution Super Agent,pandidurai.ks,Already updated
4437845,GEN AI - Solution Super Agent,pandidurai.ks,Already updated
4425494,GEN AI - Solution Super Agent,pandidurai.ks,Already updated
4445254,GEN AI - Solution Super Agent,pandidurai.ks,Already updated
4439689,GEN AI - Solution Super Agent,pandidurai.ks,Already updated
4441873,GEN AI - Solution Super Agent,pandidurai.ks,Already updated
4443608,Spartans,nityanand.giri,Already updated
4444999,Spartans,nityanand.giri,Already updated
4372568,Everest,nityanand.giri,Already updated
4316849,Everest,nityanand.giri,Already updated
4361271,TechSavers,nityanand.giri,Already updated
4446913,Spartans,nityanand.giri,Already updated
4386505,TitansPlus,nityanand.giri,Already updated
4150441,GENAI-CDAT,n.d.krishnakumar,Already updated
4423729,Code Mavin,n.d.krishnakumar,Already updated
4436848,Solution to Contract,n.d.krishnakumar,Already updated
4439589,Solution to Contract,n.d.krishnakumar,Already updated
4446927,GENAI-CDAT,n.d.krishnakumar,Already updated
4443431,TechStars,mohanraj.a.selvaraj,Already updated
4441769,TechStars,mohanraj.a.selvaraj,Already updated
4438224,TechStars,mohanraj.a.selvaraj,Already updated
4438649,DevStormers,mervinkumar.manickam,Already updated
4435161,DevStormers,mervinkumar.manickam,Already updated
4165954,DevStormers,mervinkumar.manickam,Already updated
4186269,DevStormers,mervinkumar.manickam,Already updated
4444771,TechAvatar,mervinkumar.manickam,Already updated
4422041,myISP_BPMS,m.ohlan,Already updated
4446954,Simba,m.ohlan,Already updated
4361631,Simulators,K.devaraj,Already updated
4334834,CreativeCoders,K.devaraj,Already updated
4435808,Simulators,K.devaraj,Already updated
4432036,TechCoders,Francis.Deepak,Already updated
4443444,TechCoders,Francis.Deepak,Already updated
4443663,TechCoders,Francis.Deepak,Already updated
4391688,myISP_IMS,supriya.a.dhingra,Updated
4392402,myISP_IMS,supriya.a.dhingra,Updated
4395116,myISP_IMS,supriya.a.dhingra,Updated
4439699,Spartans,nityanand.giri,Updated
4446904,GENAI-CDAT,n.d.krishnakumar,Updated
4446961,GENAI-CDAT,n.d.krishnakumar,Updated
4447582,Gen AI - Solution Review Agent,n.d.krishnakumar,Updated
4448165,SolutionDataLake,vishal.v.nadpurohit,Updated
4448807,TitansPlus,nityanand.giri,Updated
4449961,NGTransformers,sowjanya.kari,Updated
4449963,MYISP_Revamp_UI,vikrant.r.mohite,Updated
4450909,GoRetro,sowjanya.kari,Updated
4451435,TechTribe,pandidurai.ks,Updated
4451498,Pacemakers,sona.job,Updated
4451499,Achievers,nityanand.giri,Updated
4450094,TechWarriors,sowjanya.kari,Updated
4440057,Solution to Contract,n.d.krishnakumar,Updated
4446378,Solution to Contract,n.d.krishnakumar,Updated
4446561,Solution to Contract,n.d.krishnakumar,Updated
4446589,Solution to Contract,n.d.krishnakumar,Updated
4446592,Solution to Contract,n.d.krishnakumar,Updated
